component,path,language,source_form_hint,initial_classification,status,entry_point,tapenade_options,modes,oracle,dependencies,tapenade_result,fortad_result
non-regressions,nonRegressions/set01/lh088,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"nondiff(a,b,c,d); port set01_lh088(a,b,c,d,total)",none,forward|reverse,hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh089,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"pushpop(a,b)",-p-root-pushpop|-d-root-pushpop-ext-PUSHPOPGeneralLib|-b-root-pushpop-ext-PUSHPOPGeneralLib,parser|forward|reverse,strict-versus-legacy-compiler|fresh-Tapenade-generation|pushpop-state-machine|finite-difference|adjoint-identity|FortAD-diagnostic,"external PUSHREAL8/POPREAL8 summary; legacy REAL*8; active dummy declarations are not retained by current normalization",pass-fresh-parser-forward-reverse-generation-legacy-compile; expected-strict-REAL*8-refusal,pass-check-reemit; expected-refusal-forward-undeclared-a-and-reverse-undeclared-a
non-regressions,nonRegressions/set01/lh090,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"testInitAdj(x,y)",-p|-d-root-testInitAdj|-b-root-testInitAdj,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-generation|finite-prefix-tangent|finite-prefix-adjoint|FortAD-diagnostic,"positive-input legacy GOTO loop does not terminate; absent DIFFSIZES.inc",pass-fresh-parser-tangent-reverse-generation-strict-compile,expected-refusal-unsupported-statement-line-11-no-output
non-regressions,nonRegressions/set01/lh091,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"bugequiv(c); FF(x)",-p|-d-root-bugequiv|-b-root-bugequiv,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-source-first-and-compatibility-common-diagnostic|independent-FF-update-JVP-VJP-oracle,"legacy COMMON/EQUIVALENCE state and absent authoritative DIFFSIZES.inc; exact-source-only",pass-fresh-parser-forward-reverse-generation-strict-and-legacy-compile,expected-refusal-source-first-and-compatibility-common-line-7-no-output
non-regressions,nonRegressions/set01/lh092,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"f1(a,b,c); port set01_lh092(a,b,c)",none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|hand|central-difference-sweep|adjoint-identity,inline of nested f2 body,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh093,fortran,mixed,"mixed regression cases, references, harness, and data",expected-refusal,"testIOmess(a,b,c,d,e)",-p|-d-root-testIOmess|-b-root-testIOmess,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-I/O-boundary-oracle,"interactive I/O and unsupported READ/WRITE statements are part of the exact procedure",pass-fresh-parser-tangent-reverse-generation-generated-legacy-compile-strict-refusal,expected-refusal-exact-parser-forward-reverse-unsupported-I-O-line-8-no-output
non-regressions,nonRegressions/set01/lh094,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(a,b)",-p|-d-root-test|-b-root-test|-ext-MyGeneralLib,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-summary-boundary-oracle,"DISACTIVATE is supplied only by Tapenade's external summary; no FortAD rule or repaired port is claimed",pass-fresh-parser-tangent-reverse-generation-generated-strict-compile,expected-refusal-exact-forward-reverse-no-derivative-rule
non-regressions,nonRegressions/set01/lh095,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"testliveness(a,b,c,d); SUB1(a,b)",-p|-d-root-testliveness|-b-root-testliveness,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-source-first-and-compatibility-reverse-diagnostic|independent-liveness-JVP-VJP-oracle,absent authoritative DIFFSIZES.inc; exact reverse reaches undeclared SUB1 result; exact-source-only,pass-fresh-parser-forward-reverse-generation-strict-compile,expected-refusal-source-first-and-compatibility-reverse-undeclared-sub1
non-regressions,nonRegressions/set01/lh096,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"testliveness(a,b,c,d); SUB1(a,b)",-p|-d-root-testliveness|-b-root-testliveness,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-source-first-and-compatibility-reverse-diagnostic|independent-liveness-JVP-VJP-oracle,absent authoritative DIFFSIZES.inc; exact source has undeclared SUB1 result boundary; exact-source-only,pass-fresh-parser-forward-reverse-generation-strict-and-legacy-compile,expected-refusal-check-and-reverse-boundary-forward-pass
non-regressions,nonRegressions/set01/lh097,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"testiotbr(a,b,c)",-p|-d-root-testiotbr|-b-root-testiotbr,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-fixed-read-value-oracle,"external I/O overwrites an active dummy and the exact source has a legacy I/O boundary",pass-fresh-parser-forward-reverse-generation-legacy-compile-strict-refusal,expected-refusal-exact-parser-forward-reverse-unsupported-I-O-line-7-no-output
non-regressions,nonRegressions/set01/lh098,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"ff(N,t,xbt,x)",-p|-d|-b,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-jvp-vjp|independent-analytic-jvp-vjp-oracle,"the exact source and generated products depend on external CNKLOG/COMMON support; no repaired port is claimed",pass-fresh-parser-tangent-reverse-generation-strict-compile,check-jvp-vjp-pass-generated-compile-refusal-external-cnklog
non-regressions,nonRegressions/set01/lh099,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh101,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh102,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"testprotect(xx,yy,zz,vv1,vv2,vv3)",-p|-d-root-testprotect|-b-root-testprotect,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-check-jvp-vjp|independent-three-case-semantic-oracle,"FortAD emits compilable derivatives but the exact protected-expression path is incomplete; no repaired port is claimed",pass-fresh-parser-forward-reverse-generation-strict-compile,pass-check-jvp-vjp-compile-incomplete-output
non-regressions,nonRegressions/set01/lh103,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"h(a,b,c,r)",-p|-d|-b,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-check-jvp|independent-jvp-vjp-oracle,"reverse mode requires per-iteration storage that the current exact-source transformer does not provide",pass-fresh-parser-forward-reverse-generation-strict-compile,pass-check-jvp-expected-refusal-vjp-per-iteration-storage
non-regressions,nonRegressions/set01/lh104,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(a,b,c,d)",-p|-d-root-top|-b-root-top,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-diagnostic|independent-branch-jvp-vjp-oracle,exact source modifies all four dummy arguments; stored reverse uses INTEGER*4 and implicit PUSHCONTROL1B/POPCONTROL1B; FortAD reverse assigns to d_b declared INTENT(IN),pass-fresh-Tapenade-parser-forward-reverse-generation-legacy-compile-strict-refusal,pass-check-forward-strict-legacy-compile-expected-reverse-output-does-not-compile-both-gates
non-regressions,nonRegressions/set01/lh105,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(a,b,i)",-p|-d-root-top|-b-root-top,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-codegen-boundary|independent-indexed-JVP-VJP-oracle,inout array a is indexed before i is overwritten; i is a discrete control excluded from the real derivative; exact dependent a is also active input and FortAD reverse emits duplicate a_b formals; no repaired or synthetic port,pass-fresh-parser-forward-reverse-generation-strict-and-legacy-compile,pass-check-forward-strict-and-legacy-compile-expected-reverse-compile-refusal-duplicate-a_b
non-regressions,nonRegressions/set01/lh106,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh107,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"test(a,b)",-p|-d-root-test|-b-root-test,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-jvp-vjp|independent-max-sequence-jvp-vjp-oracle,Tapenade's fresh forward reference has an unresolved MAX_D; FortAD direct products compile strictly for the exact source without a custom rule or repaired port,pass-fresh-parser-forward-reverse-generation-parser-strict-pass-forward-compiler-refusal-MAX_D-reverse-strict-refusal-legacy-pass,pass-check-and-direct-p-d-b-generation-strict-compilation
non-regressions,nonRegressions/set01/lh108,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh109,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"adj3(z,t); calls sub1(u,y2,z,v)",-p|-d-root-adj3|-b-root-adj3,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-parser-forward-reverse-diagnostic|independent-bounded-sub1-jvp-vjp-oracle,"COMMON /cc/x,y unsupported at FortAD line 6; exact source has type-mismatched/aliased call and uninitialized u,v,j; no repaired port claimed",pass-fresh-parser-forward-reverse-generation-strict-legacy-compile-fresh-reverse-matches-stored-diagnostics-match-after-normalization,expected-refusal-exact-parser-forward-reverse-unsupported-common-line-6-no-output
non-regressions,nonRegressions/set01/lh110,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh111,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh112,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh113,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh114,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh115,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh117,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh118,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh119,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh120,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh121,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh122,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh123,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh124,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh125,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh126,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh127,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh128,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh129,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh131,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh132,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh133,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh134,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"toto(x,f); port set01_lh134(x,f)",none,forward|reverse,hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh135,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh136,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"eval_f(x,y)",-p|-d/-root-eval_f|-b/-root-eval_f,parser|forward|reverse,strict-source-compile|fresh-Tapenade-parser-forward-reverse-generation|independent-hand-primal-central-difference-sweep,"legacy fixed-form main program, console I/O, and DIFFSIZES.inc",pass-fresh-parser-forward-reverse-generation-strict-compile,expected-refusal-unsupported-INTRINSIC-declaration-line-30
non-regressions,nonRegressions/set01/lh137,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh138,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh139,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh140,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh141,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh142,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh143,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh144,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(x,y)",-p/-root-top|-d/-root-top|-b/-root-top,parser|forward|reverse,strict-source-compile|fresh-Tapenade-parser-forward-reverse-generation|independent-hand-primal-central-difference-sweep-adjoint-identity,"local FOO call chain; no external dependency",pass-fresh-parser-forward-reverse-generation-strict-compile,pass-forward-expected-refusal-reverse-duplicate-x_b
non-regressions,nonRegressions/set01/lh145,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/lh147,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh148,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh149,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh150,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(xx); port set02_lh150(x,y)",none,forward|reverse:y,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set02/lh151,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh152,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh153,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh154,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh155,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh156,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh157,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh158,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh159,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh160,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh161,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh162,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh163,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"test(v p q)>(v p q s); port test(v,p,q,s)",-p/-root-test|-d/-root-test|-b/-root-test,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-exact-transform-compile-runtime
non-regressions,nonRegressions/set02/lh164,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh165,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh166,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh167,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh168,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh169,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh170,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh171,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh172,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh173,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh174,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh175,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh176,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh177,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh178,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh179,fortran,mixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh180,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh181,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh182,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh183,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh184,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh185,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh186,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh187,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh188,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh189,fortran,mixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh190,fortran,mixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh191,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh192,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(x,y,pkz)",-p/-root-test|-d/-root-test|-b/-root-test,parser|forward|reverse,strict-source-compile|fresh-Tapenade-parser-forward-reverse-generation|independent-hand-primal-central-difference-sweep,"large checkpoint loop over a 400^3 array",pass-fresh-parser-forward-reverse-generation-strict-compile,pass-forward-expected-refusal-reverse-per-iteration-storage
non-regressions,nonRegressions/set02/lh193,fortran,fixed,"mixed regression cases, references, harness, and data",blocked-missing-dependency,"head(x,y)",Options=-I ../ADFirstAidKit/mpich/include|-I ../ADFirstAidKit|-context; transformations not-run,strict-compiler|legacy-compiler,exact-pinned-source-SHA-256|exact-upstream-Git-pin|strict-fixed-form-compiler-diagnostics,ampi/ampif.h is absent from the case search path; the pinned ADFirstAidKit/ampi/ampif.h includes absent ADFirstAidKit/mpich/include/mpif.h; valid dependency-blocked case,not-run-missing-dependency,not-run-missing-dependency
non-regressions,nonRegressions/set02/lh194,fortran,fixed,"mixed regression cases, references, harness, and data",blocked-missing-dependency,"head(x,y)",Options=-I ../ADFirstAidKit/mpich/include|-I ../ADFirstAidKit|-context; transformations not-run,strict-compiler|legacy-compiler,exact-pinned-source-SHA-256|exact-upstream-Git-pin|strict-and-legacy-fixed-form-compiler-diagnostics,ampi/ampif.h is absent from the case search path; the pinned ADFirstAidKit/ampi/ampif.h includes absent ADFirstAidKit/mpich/include/mpif.h; valid dependency-blocked case,not-run-missing-dependency,not-run-missing-dependency
non-regressions,nonRegressions/set02/lh195,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh196,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"POLYCOST(X,Y,ns)",-p/-head-polycost|-d/-head-polycost|-b/-head-polycost,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-check-forward-reverse-inlining-diagnostic|independent-polygon-cost-JVP-VJP|central-difference-sweep|adjoint-identity,"REAL*8 strict boundary; POLYPERIM/INCRSQRT function-call inlining boundary; no repaired port claimed",pass-fresh-parser-tangent-reverse-generation-strict-REAL8-refusal-legacy-compile-pass,expected-refusal-exact-check-forward-reverse-function-inlining-no-output
non-regressions,nonRegressions/set02/lh197,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/lh198,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(x,y)",-p/-root-top|-d/-root-top|-b/-root-top;Options=-context-nooptim-stripPrimalCode,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-check-forward-reverse-diagnostic|independent-COMMON-block-JVP-VJP|central-difference-sweep|adjoint-identity,"COMMON /comG/ aliases v4 and v6 across BBB, CCC, and internal DDD; no missing dependency; no repaired port claimed",pass-fresh-parser-tangent-reverse-generation-strict-and-legacy-compile-pass,expected-refusal-exact-forward-reverse-no-derivative-rule-AAA-no-output
non-regressions,nonRegressions/set02/lh199,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set02/m01,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
